id	qid1	qid2	question1	question2	is_duplicate	
168488	156558	260980	What's the nicest thing anyone has ever done for you?	What is the nicest thing you have ever done for someone on Christmas?	0	0	0.73775256
29310	54244	54245	How do you see the present and future of interaction design?	"Human-Computer Interaction: How would you balance conversion (""sign up here"") and engagement (""see what you can do"")  priorities when designing a home page?"	0	0	0.97706306
235207	5929	70197	Why hasn't the KTM 125 Duke launched in India yet?	Has KTM Duke 125 launched in India or is it going to be launched in 2016?	0	0	0.83271635
132929	212750	212751	What is the cost of a commercial wifi deployment from say Cisco or Aruba?	Why does my wifi switch from 2.4ghz to 5ghz?	0	0	0.9954591
2409	4788	4789	Why do I never have nightmares?	Why don't I get nightmares?	1	1	0.9407353
242859	136603	355164	Someone explain why my spring airsoft sniper rifle (Accuracy International replica L96) is skewing or curving to the right when I shoot long range?	Why does my Airsoft gun shoot to the right?	0	0	0.79104406
18300	34679	34680	What are the pros and cons of owning an EV (electric vehicle) in Honolulu?	Where is Mount Villarica located and how does its eruptive history compare to Mount Taal?	0	0	0.996494
171196	128116	40100	How do I get my startup funded?	How can I get funding for my startups?	1	1	0.7815286
73215	14518	125657	How do I read my friend's WhatsApp chat without taking his phone?	WhatsApp: Can I read WhatsApp messages from another number? Mainly, if the mobile is somewhere else than me?	0	0	0.63666075
278344	397609	397610	"What does it mean if tatkal passport aplication status shows ""under review at regional passport office"" since the very first day?"	"""Passport application is under review at Regional Passport Office."" Can any one advice me about the next step as its already 15 days now?"	0	0	0.9989999
277896	397089	397090	How do you sharpen a knife without ruining its finish?	Does Obsidian make the sharpest knife?	0	0	0.86506075
63934	7834	14183	Is it bad for health to eat eggs every day?	Is it healthy to eat a tomato every day?	1	0	0.7403091
380789	443369	144450	How much does it cost to own a small plane?	Roughly how much will it cost to fix this small dent and scratch on my car?	0	0	0.92271584
345318	473606	473607	Does redmi 2 work in the USA?	Will Redmi 1S back cover work on Redmi prime 2?	0	0	0.93837875
55176	97297	97298	What's Home Depot's return/exchange policy?	What's Home Depot's return/exchange policy on appliances?	1	0	0.9859374
362207	492117	251316	Where can I meet the right guy?	How can I find the right guy? How do I know he's the right guy?	0	1	0.69213414
335457	462730	462731	Girls: What did the first time your boyfriend ever touched you feel like (and you wanted the contact)?	What is the most attractive girl you have ever seen like? And could you add your cultural and educational background?	0	0	0.9399291
247989	40219	5636	Which is the best course for digital marketing?	Which is the best institute to learn digital marketing (job oriented) in India?	1	0	0.7468196
16620	31674	31675	Who is most likely to start world war three?	So as of now, who is most likely to start a MAJOR world war?	1	0	0.7780002
23816	44576	44577	Why are there not liens on all of Trump's holdings, with all of the contractors he's stiffed?	What science is behind the RegenX AD Cream?	0	0	0.9855586
211886	1750	10359	Do you think scrapping of 500 and 1000 rupee denominations is going to eradicate corruption?	How banning 500 and 1000 rupee can affect black money?	1	1	0.97647357
286789	397876	4896	How do I lose fat from my legs?	How do I reduce body fat properly?	0	1	0.9517423
150886	237361	237362	Is eating bread good for health?	Why is bread bad for your health?	1	1	0.63199216
156442	244839	244840	What can we do to wake up in the morning without being tired?	What can you do to not wake up tired everyday?	1	1	0.70329565
36381	66346	66347	What kind of things do old people like?	What do old people do?	1	1	0.65658104
42287	76227	9844	What are some things new employees should know going into their first day at Receptos?	What are some things new employees should know going into their first day at Team?	0	0	0.98013914
182545	98699	279358	How is the chemical formula for titin determined, and how does it compare to that of casein?	How is the chemical formula for titin determined, and how does it compare to that of ovalbumin?	0	0	0.9810658
174305	268666	78883	How does Felix Zemdegs solve the 3x3x3 cube?	How can you solve a rubiks cube (3x3x3) in under 10 seconds?	0	0	0.9966786
310627	434783	76139	Why do people watch Jerry springer? When is the best nip slips??!!!	Why do people like Game of Thrones?	0	1	0.553992
140962	223904	223905	What are the similarities between Narendra Modi and Hafiz Saeed?	I want to upload my own made music to youtube and monetize it. How do I prove to youtube that I made this music?	0	0	0.9578967
210512	315076	315077	Can I learn MMA at he age of 26?	Can I learn MMA at the age of 24?	0	0	0.5192601
232820	27759	88909	How do I hack or spy on someone's WhatsApp conversation?	How can I hack someone's whatsapp account and change their wallpaper on my phone?	1	1	0.8154238
208402	312388	312389	Where would be the worst place for a new virus to break out?	I really want to be rich because I'm so tired of poverty …what advice can you give me?	0	1	0.6680135
375642	31711	75531	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Chihuahuan Desert?	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Karakum Desert?	1	1	0.8698831
242912	355236	355237	Is it bad practice to put parentheses in a file name?	How should a package be named as a best practice?	0	0	0.9813014
182281	279020	279021	Once I've installed Windows 10, if I have to factory reset my laptop, will it revert to Windows 8.1 or stay on Windows 10?	I got a BCD error when I was reverting back to Windows 8.1 from my Windows 10 tab. What are some solutions?	0	0	0.9272736
227046	64894	335795	What is the meaning of this Punjabi song in Hindi or English?	"What does the Hindi word ""Astitva"" mean in English?"	0	0	0.9952656
23929	44778	44779	How do I tell if a guy likes me back?	How do I know if the guy I like likes me back or not?	1	1	0.76856816
85202	143897	143898	What are the industries where chemical engineers can expect to play a role, especially in  petrochemical & process industries?	What is the role of chemical engineers in the pharmaceutical industry?	0	0	0.9450903
85543	144407	144408	How can you tell if a Muslim is a Shiite or a Sunni?	Is Mecca holy to Shiite, Alawites and Kurds? Or is it strictly for Sunni Muslims only?	0	0	0.7873915
242724	260060	354990	What is Clayton Kershaw like in person?	What is Clayton Kershaw's salary?	0	0	0.79115164
357926	11600	73571	How do I gain weight in a healthy way?	How can gain my weight?	1	1	0.93714803
117780	14431	5304	Who own ygeia3.com?	Who own DatingBuddies.com?	0	0	0.9898925
363327	493303	493304	How does one tell if someone is tired or just woke up?	How should I say ''just woke up in the morning''?	0	0	0.52120405
286423	67024	407010	Where can I watch Dragon Ball Z episodes english dubbed?	Where can I watch Dragon Ball Z in Spanish with English subtitles?	0	1	0.9346227
190500	289604	289605	Is there any way to study organic chemistry?	What are some tips for studying organic chemistry and biochemistry?	0	0	0.9752178
114134	138662	186348	How do you know if someone is in love with you?	How do you know someone is in love with you?	1	1	0.7265774
147718	5434	12719	What are the safety precautions on handling shotguns proposed by the NRA in Rhode Island?	What are the safety precautions on handling shotguns proposed by the NRA in Kansas?	1	1	0.8148115
111959	172957	183269	Why are there only 7 days in a week?	Why are there seven days in a week?	0	0	0.7615106
269479	221800	188892	How do I start preparing for IES?	How can I start preparing for IES/GATE?	1	0	0.79185295
311823	436162	436163	What are the origins of the most common last names in America?	What are the most common Last names in America?	0	0	0.8946577
360647	280529	490446	What is the acceptable TDS level of drinking water?	Does low TDS water means low minerals?	0	0	0.95410496
159524	249016	249017	Why are most African Americans easily swayed by pop culture media?	Are African-American southern chefs underrepresented in main stream media as opposed to their white American counterparts? Why?	0	0	0.8932803
123375	15843	83898	How do I recover a hacked instagram?	Is Instagram easily hacked?	0	1	0.97063935
338616	466174	466175	What does Jimmy Wales do with all his Quora credits?	How many Quora credits does Jimmy Wales have now?	0	1	0.6310039
183438	77237	39025	What are some good and bad benefits of banning 500 and 1000 rupees notes in India?	What are the pros and cons of banning 500 and 1000 rupee notes in India?	1	1	0.98463535
191891	8315	291374	Do you regret your marriage, and why?	What can be the regrets in marriage life for a girl?	0	0	0.7024186
22105	41533	41534	A guy tried to approach me. I ignored him considering him as a creep but I realized him to be genuine a few months later, and now l think it's too late. What can I do?	I like a boy who knows of my past crushes. He still teases me with my past crushes . How do I tell him I like him? Will he think I like too many guys?	0	0	0.97594243
